-1 -1 0 300 600 900 1200 1500 1800 2100 2400 2700 3000
0 0.433013 0.264706 0.426471 0.441176 0.5 0.573529 0.514706 0.647059 0.676471 0.705882 0.764706 0.794118
1 1.299038 0.25 0.426471 0.514706 0.455882 0.367647 0.470588 0.632353 0.691176 0.735294 0.779412 0.764706
2 2.165064 0.367647 0.397059 0.382353 0.426471 0.573529 0.529412 0.661765 0.735294 0.691176 0.75 0.823529
3 3.031089 0.279412 0.426471 0.397059 0.411765 0.470588 0.455882 0.647059 0.75 0.720588 0.647059 0.720588
4 3.897114 0.323529 0.367647 0.470588 0.455882 0.426471 0.529412 0.617647 0.661765 0.705882 0.75 0.735294
5 4.763140 0.323529 0.352941 0.441176 0.470588 0.529412 0.544118 0.720588 0.691176 0.661765 0.661765 0.808824
6 5.629165 0.367647 0.352941 0.397059 0.441176 0.5 0.632353 0.573529 0.705882 0.661765 0.661765 0.764706
7 6.495191 0.367647 0.411765 0.5 0.441176 0.5 0.573529 0.720588 0.691176 0.75 0.735294 0.808824
8 7.361216 0.264706 0.382353 0.485294 0.470588 0.529412 0.617647 0.602941 0.647059 0.617647 0.794118 0.661765
9 8.227241 0.367647 0.352941 0.470588 0.514706 0.558824 0.426471 0.558824 0.661765 0.691176 0.720588 0.764706
10 9.093267 0.352941 0.382353 0.411765 0.5 0.397059 0.573529 0.602941 0.588235 0.705882 0.838235 0.779412
11 9.959292 0.367647 0.352941 0.455882 0.411765 0.485294 0.632353 0.544118 0.588235 0.720588 0.779412 0.705882
12 10.825318 0.323529 0.308824 0.397059 0.426471 0.5 0.573529 0.573529 0.632353 0.808824 0.705882 0.808824
13 11.691343 0.279412 0.426471 0.323529 0.411765 0.529412 0.573529 0.485294 0.720588 0.705882 0.75 0.808824
14 12.557368 0.352941 0.470588 0.308824 0.470588 0.514706 0.632353 0.544118 0.602941 0.735294 0.808824 0.735294
15 13.423394 0.264706 0.367647 0.397059 0.514706 0.529412 0.588235 0.617647 0.588235 0.720588 0.779412 0.661765
16 14.289419 0.352941 0.235294 0.235294 0.485294 0.558824 0.573529 0.691176 0.705882 0.617647 0.764706 0.720588
17 15.155445 0.338235 0.25 0.411765 0.426471 0.470588 0.691176 0.676471 0.632353 0.647059 0.676471 0.735294
18 16.021470 0.338235 0.5 0.338235 0.441176 0.514706 0.470588 0.573529 0.647059 0.735294 0.705882 0.779412
19 16.887495 0.5 0.323529 0.411765 0.352941 0.455882 0.485294 0.544118 0.705882 0.705882 0.661765 0.794118
20 17.753521 0.294118 0.308824 0.382353 0.485294 0.544118 0.485294 0.529412 0.647059 0.632353 0.661765 0.764706
21 18.619546 0.455882 0.382353 0.441176 0.441176 0.455882 0.5 0.544118 0.632353 0.691176 0.705882 0.558824
22 19.485572 0.382353 0.294118 0.323529 0.411765 0.514706 0.529412 0.617647 0.661765 0.705882 0.735294 0.764706
23 20.351597 0.411765 0.352941 0.397059 0.367647 0.470588 0.529412 0.647059 0.573529 0.852941 0.764706 0.75
24 21.217622 0.323529 0.338235 0.367647 0.367647 0.397059 0.661765 0.691176 0.588235 0.647059 0.75 0.764706
25 22.083648 0.205882 0.294118 0.352941 0.411765 0.485294 0.647059 0.588235 0.632353 0.691176 0.676471 0.75
26 22.949673 0.338235 0.205882 0.323529 0.382353 0.397059 0.514706 0.676471 0.647059 0.617647 0.705882 0.794118
27 23.815699 0.294118 0.235294 0.220588 0.411765 0.455882 0.485294 0.705882 0.588235 0.676471 0.75 0.705882
28 24.681724 0.411765 0.338235 0.294118 0.441176 0.485294 0.588235 0.602941 0.647059 0.705882 0.617647 0.705882
29 25.547749 0.294118 0.25 0.323529 0.382353 0.397059 0.573529 0.544118 0.764706 0.558824 0.735294 0.823529
30 26.413775 0.264706 0.220588 0.455882 0.294118 0.558824 0.602941 0.647059 0.647059 0.676471 0.808824 0.691176
31 27.279800 0 0.25 0.411765 0.426471 0.455882 0.558824 0.691176 0.602941 0.764706 0.794118 0.764706
32 28.145826 0 0.176471 0.294118 0.441176 0.514706 0.470588 0.485294 0.544118 0.661765 0.705882 0.75
33 29.011851 0 0.205882 0.352941 0.426471 0.544118 0.514706 0.632353 0.676471 0.617647 0.661765 0.720588
34 29.877876 0 0.220588 0.235294 0.397059 0.485294 0.558824 0.632353 0.632353 0.735294 0.720588 0.794118
35 30.743902 0 0.191176 0.367647 0.426471 0.441176 0.558824 0.573529 0.705882 0.573529 0.852941 0.764706
36 31.609927 0 0.205882 0.397059 0.338235 0.5 0.588235 0.529412 0.647059 0.779412 0.705882 0.735294
37 32.475953 0 0.205882 0.397059 0.338235 0.544118 0.5 0.632353 0.75 0.794118 0.75 0.720588
38 33.341978 0 0.205882 0.338235 0.470588 0.382353 0.602941 0.647059 0.617647 0.779412 0.720588 0.75
39 34.208003 0 0.147059 0.367647 0.470588 0.514706 0.632353 0.544118 0.705882 0.647059 0.779412 0.823529
40 35.074029 0 0.205882 0.338235 0.397059 0.397059 0.455882 0.632353 0.691176 0.661765 0.705882 0.794118
41 35.940054 0 0.191176 0.264706 0.455882 0.529412 0.514706 0.647059 0.676471 0.647059 0.764706 0.794118
42 36.806080 0 0.264706 0.323529 0.294118 0.529412 0.573529 0.676471 0.661765 0.676471 0.632353 0.794118
43 37.672105 0 0.161765 0.279412 0.5 0.441176 0.602941 0.602941 0.544118 0.735294 0.720588 0.735294
44 38.538130 0 0.205882 0.308824 0.485294 0.588235 0.5 0.661765 0.735294 0.720588 0.691176 0.720588
45 39.404156 0 0.220588 0.308824 0.367647 0.573529 0.529412 0.617647 0.617647 0.779412 0.720588 0.764706
46 40.270181 0 0.235294 0.323529 0.411765 0.485294 0.588235 0.647059 0.720588 0.676471 0.720588 0.823529
47 41.136207 0 0.220588 0.367647 0.514706 0.455882 0.455882 0.558824 0.617647 0.691176 0.720588 0.764706
48 42.002232 0 0.279412 0.235294 0.441176 0.558824 0.588235 0.676471 0.632353 0.602941 0.676471 0.735294
49 42.868257 0 0.25 0.352941 0.367647 0.470588 0.514706 0.602941 0.705882 0.705882 0.705882 0.75
50 43.734283 0.323529 0.205882 0.411765 0.367647 0.514706 0.661765 0.455882 0.632353 0.588235 0.75 0.764706
51 44.600308 0.323529 0.205882 0.264706 0.382353 0.573529 0.558824 0.558824 0.735294 0.661765 0.779412 0.764706
52 45.466334 0.470588 0.205882 0.264706 0.485294 0.367647 0.573529 0.764706 0.588235 0.735294 0.705882 0.779412
53 46.332359 0.397059 0.264706 0.382353 0.455882 0.5 0.514706 0.588235 0.529412 0.617647 0.735294 0.661765
54 47.198385 0.397059 0.25 0.308824 0.455882 0.514706 0.558824 0.661765 0.705882 0.779412 0.632353 0.75
55 48.064410 0.338235 0.294118 0.338235 0.514706 0.514706 0.485294 0.529412 0.602941 0.764706 0.764706 0.705882
56 48.930435 0.25 0.308824 0.367647 0.441176 0.382353 0.514706 0.632353 0.617647 0.661765 0.75 0.794118
57 49.796461 0.352941 0.235294 0.441176 0.382353 0.426471 0.514706 0.632353 0.764706 0.705882 0.720588 0.764706
58 50.662486 0.264706 0.308824 0.294118 0.426471 0.5 0.647059 0.588235 0.661765 0.676471 0.676471 0.764706
59 51.528512 0.308824 0.308824 0.323529 0.411765 0.514706 0.632353 0.676471 0.514706 0.691176 0.735294 0.764706
60 52.394537 0.294118 0.397059 0.367647 0.411765 0.485294 0.558824 0.661765 0.632353 0.705882 0.867647 0.75
61 53.260562 0.411765 0.367647 0.279412 0.352941 0.514706 0.544118 0.705882 0.647059 0.676471 0.691176 0.75
62 54.126588 0.191176 0.235294 0.323529 0.367647 0.514706 0.691176 0.647059 0.676471 0.647059 0.764706 0.676471
63 54.992613 0.308824 0.382353 0.485294 0.367647 0.441176 0.367647 0.647059 0.676471 0.632353 0.705882 0.808824
64 55.858639 0.367647 0.294118 0.397059 0.426471 0.485294 0.617647 0.647059 0.676471 0.661765 0.705882 0.75
65 56.724664 0.264706 0.367647 0.367647 0.426471 0.441176 0.558824 0.514706 0.602941 0.588235 0.838235 0.779412
66 57.590689 0.294118 0.264706 0.485294 0.455882 0.411765 0.573529 0.529412 0.602941 0.823529 0.632353 0.705882
67 58.456715 0.352941 0.279412 0.5 0.397059 0.558824 0.529412 0.632353 0.735294 0.661765 0.779412 0.808824
68 59.322740 0.294118 0.308824 0.397059 0.441176 0.5 0.617647 0.573529 0.632353 0.705882 0.647059 0.705882
69 60.188766 0.397059 0.411765 0.323529 0.441176 0.485294 0.632353 0.661765 0.705882 0.705882 0.676471 0.764706
70 61.054791 0.264706 0.441176 0.382353 0.426471 0.470588 0.617647 0.617647 0.661765 0.676471 0.735294 0.779412
71 61.920816 0.397059 0.294118 0.352941 0.5 0.514706 0.573529 0.397059 0.617647 0.602941 0.676471 0.779412
72 62.786842 0.264706 0.411765 0.411765 0.338235 0.470588 0.661765 0.602941 0.602941 0.720588 0.764706 0.720588
73 63.652867 0.397059 0.5 0.382353 0.426471 0.558824 0.588235 0.529412 0.691176 0.764706 0.735294 0.720588
74 64.518893 0.352941 0.294118 0.426471 0.617647 0.426471 0.529412 0.588235 0.661765 0.632353 0.764706 0.676471
75 65.384918 0.338235 0.426471 0.470588 0.470588 0.514706 0.647059 0.544118 0.617647 0.720588 0.764706 0.691176
76 66.250943 0.279412 0.470588 0.397059 0.529412 0.529412 0.544118 0.720588 0.647059 0.676471 0.676471 0.735294
77 67.116969 0.352941 0.367647 0.367647 0.558824 0.544118 0.485294 0.617647 0.735294 0.75 0.779412 0.823529
78 67.982994 0.367647 0.470588 0.382353 0.411765 0.632353 0.617647 0.588235 0.588235 0.808824 0.764706 0.75
79 68.849020 0.279412 0.352941 0.397059 0.367647 0.514706 0.5 0.705882 0.705882 0.720588 0.661765 0.735294
